ODCAccessionNbr,DOI,DatasetTitle,DatasetTyp,Year,DatePublished,Laboratory,StudyLeader,SubjectNbrs,SpeciesTyp,SpeciesStrainTyp,SexTyp,AnimalSourceNam,AgeVal,BodyWgtMeasrVal,InjuryTyp,InjuryLevelAnatomical,InjuryLevelSpinal,InjuryLaterality,InjuryDevice,InjurySeverity,InjuryContusionForce,InjuryContusionDataAvail,Locomotion,OtherBehaviour,InterventionTyp,InterventionAgent,AuthorKeywords,RelatedDatasets,Funders,CoDES,Purpose,Notes
1204,http://doi.org/10.34945/F5BG6S,Motor cortex neuromodulation activates molecular signaling necessary for corticospinal axon growth and muscle response plasticity in intact rats and in rats with bilateral cervical spinal cord injury,Animal,2024,2024-11-04,Martin Laboratory,Neela Zareen,125,Rat,Sprague-Dawley,Female,Charles River,2-3 months,275-300 g,Contusion,Cervical,C4,bilateral,Infinite Horizons impactor,Moderate,200,Dwell time,NA,NA,Neuromodulation,repetitive multi-pules stimulation (rMPS),axon sprouting; Jak/Stat; motor cortex; mTOR; PTEN; spinal cord injury,NA,Craig H. Neilsen Foundation; New York State SCI Board; National Institutes of Health,post,"To determine the effects of short-term and long-term repetitive multi-pulse stimulation (rMPS) and intermittent theta burst stimulation (iTBS) neuromodulation applied to motor cortex, on corticospinal tract (CST) axon structural remodeling, physiological connectivity (motor evoked potential, MEP) and activation of axon growth-promoting molecular signaling (mTOR, PTEN and Jak/Stat) in rats without injury and after moderate, bilateral cervical spinal cord contusion injury.",
1237,http://doi.org/10.34945/F52307,Cytosolic Phospholipase A2 in Infiltrating Monocyte-Derived Macrophages Does Not Impair Recovery After Thoracic Contusion Spinal Cord Injury in Female Mice,Animal; In Vitro,2024,2024-12-10,Gensel Lab (Nero),Ethan Glasser,62,Mouse,C57BL/6,Female,Jackson Labs,3 months,22-35 g,Contusion,Thoracic,T9,midline,Infinite Horizons impactor,Not reported,65,Force; Displacement; Dwell time,BMS; Ladder walking,Catwalk,Genetic ,generated cPLA2 KO chimeras,inflammation; macrophage; myelin; spinal cord injury,NA,Craig H. Neilsen Foundation; National Institutes of Health; National Institute of Neurological Disorders and Stroke,post,To determine the role of macrophage cPLA2 expression on spinal cord injury (SCI) pathology and recovery.,
1235,http://doi.org/10.34945/F55S36,Pleiotrophin Efficacy in vitro and Dose-Response Experiments in vivo Following an Incomplete Cervical Dorsolateral Quadrant Spinal Cord Injury in Adult Male and Female Lewis Rats,Animal; In Vitro,2025,2025-01-06,Keith K Fenrich,Carmen Ng,50,Rat,Sprague-Dawley; Lewis,Female; Male,Charles River Canada; not reported,9 weeks,200-350 g,DLQ,Cervical,C4,unilateral - right side,Blade,Incomplete,NA,NA,Ladder walking,Cylinder; von Frey,Drug/agent,pleiotrophin (PTN),dorsolateral quadrant (DLQ); in vitro; in vivo; lesion; pleiotrophin; rat; spinal cord injury,1234; 1228,Wings for Life,post,"To generate a dose-response curve for pleiotrophin (PTN) treatment in adult rat spinal cord injury (SCI) models and to further understand the capabilities of PTN in promoting neurite outgrowth in vitro and in vivo, compared to chondroitinase ABC (ChABC) therapy.",
1234,http://doi.org/10.34945/F59K54,Pleiotrophin and Rehabilitative Training Following an Incomplete Cervical Dorsolateral Quadrant Spinal Cord Injury in Adult Female Lewis Rats,Animal,2025,2025-01-06,Keith K Fenrich,Carmen Ng,24,Rat,Lewis,Female,Charles River Canada,13 weeks,200-350 g,DLQ,Cervical,C4,Unilateral - ipsilateral to preferred paw,Blade,Incomplete,NA,NA,Ladder walking,SPRGR; von Frey,Drug/agent,pleiotrophin (PTN),dorsolateral quadrant (DLQ); lesion; pleiotrophin; rat; rehabilitative training; single pellet reaching grasping retrieval (SPRGR); spinal cord injury,1235; 1228,Wings for Life,post,To test the capabilities of pleiotrophin (PTN) to promote forelimb motor recovery after a cervical dorsal lateral quadrant (DLQ) partial transection spinal cord injury (SCI) in adult rats and to evaluate PTN as a potential treatment in the clinic.,
1228,http://doi.org/10.34945/F5F88D,Pleiotrophin and Rehabilitative Training Following Cervical Contusion Spinal Cord Injury in Adult Female Lewis Rats,Animal,2025,2025-01-06,Keith K Fenrich,Carmen Ng,24,Rat,Lewis,Female,Charles River Canada,12 weeks,200-350 g,Contusion,Cervical,C5,unilateral - side of preferred paw,Infinite Horizons impactor,Not reported,125,NA,Ladder walking,SPRGR; von Frey,Drug/agent,pleiotrophin (PTN),contusion; pleiotrophin; rat; rehabilitative training; single pellet reaching grasping retrieval (SPRGR); spinal cord injury,1234; 1235,Wings for Life,post,To test the capabilities of pleiotrophin (PTN) to promote forelimb motor recovery after a cervical contusion spinal cord injury (SCI) in adult rats and to evaluate PTN as a potential treatment in the clinic.,
1276,http://doi.org/10.34945/F5H308,An optogenetic model of hindlimb spasticity after complete T9-T10 spinal cord transection in male and female C57bl/6 mice,Animal,2025,2025-02-11,Tuan Bui Laboratory,Alex Laliberte and Tuan Bui,22,Mouse,C57BL/6 ,Female,Tri-hybrid generated from Jackson labs lines,86-202 days,17-26 g,Transection,Thoracic,T9-T10,NA,Sharps,Complete,NA,NA,NA,NA,Optogenetic,optogenetic stimulation of VGLUT2+ sensory afferents,optogenetics; spasticity; spinal cord injury,NA,"Canadian Institutes of Health Research; Craig H. Neilsen Foundation; Ontario Ministry of Research, Innovation, and Science",post,To test the efficacy of optogenetic stimulation of cutaneous VGLUT2+ sensory afferents in eliciting spasticity-associated behaviours after spinal cord injury.,
612,http://doi.org/10.34945/F52P4M,"Dataset for Limb disuse, synaptic maladaptation, and recovery impairments in female rats with T9 contusion SCI",Animal,2025,2025-02-13,Ferguson Lab,Not reported,156,Rat,Sprague-Dawley,Female,Not reported,Not reported,195-300 g,Contusion,Thoracic,T9,Not reported,Infinite Horizons impactor,Not reported,50,Force; Displacement; Velocity,BBB,Gait; Swim test,NA,NA,afferent input; AMPA receptor; hindlimb unloadingl hyper-reflexia; limb disuse; limb unloading; motor neuron; neuroplasticity;  rehabilitation; spasticity; spinal cord injury,NA,Craig H. Neilsen Foundation; Japan Society for the Promotion of Science; Mitsui Sumitomo Insurance Welfare Foundation; National Aeronautics and Space Administration: Human Research Program; National Institutes of Health; Wings for Life,post,"To test the impact of inactivity, we developed a rodent model of acute phase hindlimb-unloading in contusive thoracic spinal cord injury.",
1253,http://doi.org/10.34945/F5MS4M,PLX5622 Efficacy on Microglia Depletion and Its Impact on Functional Recovery Following Unilateral Dorsal Quadrant C4 Cervical Spinal Cord Injury in Female Lewis Rats,Animal,2025,2025-02-18,Karim Fouad,Jaison Cucarian,14,Rat,Lewis,Female,Charles River Canada,2 months,180-215 g,DLQ,Cervical,C4-C5,Unilateral,Custom blade,Incomplete,NA,NA,NA,Open field; Light-dark box; Elevated plus maze,Drug/agent,PLX5622,colony-stimulating factor-1; functional recovery; inflammation; microglia depletion; PLX5622; spinal cord injury,NA,Canadian Institutes of Health Research,post,To evaluate the impact of depleting microglia following SCI in rats with unilateral incomplete cervical SCI using PLX5622.,
1279,http://doi.org/10.34945/F57K5H,"Data for weight, bowel outcomes, bowel histology, and food intake in female mice after T3 complete transection injury",Animal,2025,2025-02-20,Gensel Lab (Nero),Olivia Wireman,61,Mouse,C57BL/6J,Female,Jackson Labs,3-4 months,16-30 g,Transection,Thoracic,T3,complete transection,Scalpel,Complete,NA,NA,NA,Bowel output,NA,NA,bowel; constipation; dysfunction; spinal cord injury; transection,NA,National Institute of General Medical Science; National Institute of Neurological Disorders and Stroke; University of Kentucky Spinal Cord and Brain Injury Research Center Endowed Chair #5,post,To evaluate bowel outcomes in young (4-6 months old) female C57/BL/6J mice after complete T3 transection spinal cord injury.,
1278,http://doi.org/10.34945/F5CC8T,Assessment of Spinal DNA Damage Following L1 Contusion Spinal Cord Injury in Female C57Bl/6 Mice,Animal,2025,2025-03-12,GRAND (Wilson),Scheijen,110,Mouse,C57BL/6,Female,Janvier Labs,12 weeks,17-23 g,Contusion,Lumbar,L1,Not reported,Infinite Horizons impactor,Not reported,75,Force; Displacement,BMS,NA,NA,NA,DNA damage foci; DNA damage response; DNA repair; gamma-H2AX; neuronal death; spinal cord injury; 53BPI,NA,Special Research Fund; Hasselt University,post,"To assess the presence, timing, and spinal location of DNA damage following spinal cord injury.",
1285,http://doi.org/10.34945/F5QK5V,Acute intralesional injection of extracellular vesicles secreted by human umbilical cord mesenchymal stromal cells improves BBB score following thoracic contusion in female Fischer rats,Animal,2025,2025-03-25,Couillard-Despres Lab,Lara Bieler,40,Rat,Fischer-344,Female,Charles River Germany,12 weeks,140-190 g,Contusion,Thoracic,T8,Not reported,Infinite Horizons impactor,Not reported,200,Displacement,BBB,NA,Graft/cellular,extracellular vesicles (EVs) secreted by human umbilical cord mesenchymal stromal cells (huUC-MSCs),extracellular vesicles; human umbilical cord-derived mesenchymal stromal cells; locomotion; motor function; neuroregeneration; spinal cord injury,NA,"Austrian Agency for International Cooperation in Education and Research; Land Salzburg; Paracelsus Medical University Research Support Fund; State of Salzburg, Austria",post,To compare the long-term functional outcomes obtained following acute intralesional or intravenous application of extracellular vesicles (EVs) secreted by human umbilical cord mesenchymal stromal cells (huUC-MSCs) in a rat spinal cord contusion model.,
1313,http://doi.org/10.34945/F5BC8H,Longitudinal Analysis of Locomotor Recovery After Moderate Thoracic Contusive Spinal Cord Injury in C57BL/6 Female Mice Treated with Bumetanide or CLP-290,Animal,2025,2025-04-07,Stirling Lab,Dereje Desta,64,Mouse,C57BL/6,Female,Jackson Labs,8-10 weeks,16-23 g,Contusion,Thoracic,T9-T10,Not reported,Infinite Horizons impactor,Moderate,50,Force; Displacement,BMS; Ladder walking,NA,Drug/agent,bumetanide; CLP-290,Basso Mouse Scale; bumetanide; cation-chloride cotransporters; CLP-290; spinal cord injury,NA,Wings for Life,post,To assess whether modulation of cation-chloride cotransporters would increase white matter sparing and improve neurological recovery following a moderate contusive SCI.,
883,http://doi.org/10.34945/F52C7N,"Metabolic impairment and steatohepatitis develops after T8 contusion spinal cord injury (SCI) in non-obese male rats measured by increased insulin resistance, hyperlipidemia, endotoxemia, lipid deposition and liver inflammation, and is exacerbated by pre-morbid obesity",Animal,2025,2025-04-08,Dana McTigue,MTGoodus,36,Rat,Sprague-Dawley,Male,Envigo,3 months,250 g,Contusion,Thoracic,T8,Midline,Infinite Horizons impactor,Not reported,200,Force; Displacement; Area under force curve,BBB,NA,Dietary,high fat diet leading to diet induced obesity (DIO),alanine transferase; cytokines; diet-induced obesity; insulin resistance; Kupffer cells; locomotor recovery; metabolic syndrome; non-alcoholic fatty liver disease; non-alcoholic steatohepatitis (NASH); spinal cord injury,NA,Not reported,post,To compare a diet-induced obesity (DIO) model of NASH to SCI-induced non-alcoholic steatohepatitis (NASH) and determine if DIO at the time of SCI exacerbated NASH and metabolic syndrome (MetS).,
1315,http://doi.org/10.34945/F5G30Z,Closed-loop Vagus Nerve Stimulation Aids Recovery of Hand Function after Cervical Spinal Cord Injury in Humans,Clinical,2025,2025-04-17,txbdc,Not reported,19,Human (deidentified),NA,Female; Male,NA,22-65 years,NA,NA,Cervical,C1-C8,NA,NA,AIS A-D,NA,NA,NA,NA,Neuromodulation,vagus nerve stimulation pair with task focused training,chronic cervical spinal cord injury; human; neurorehabilitation; vagus nerve stimulation,NA,Defense Advanced Research Projects Agency; Biological Technologies Office; Naval Information Warfare Center Pacific; Wings for Life,post,To explore whether combining intensive progressive task-focused training with real-time closed-loop vagus nerve stimulation (CLV) to enhance synaptic plasticity could increase strength expand range of motion and improve hand function in people with chronic incomplete cervical spinal cord injury.,
1413,http://doi.org/10.34945/F5X601,Assessing the Effect of Exercise on the Expression of Genes Associated with Macrophage Activation State and Cytokines in the Dorsal Root Ganglia after C5 Unilateral Contusion in Female Sprague Dawley Rats,Animal,2025,2025-07-11,Detloff Lab-Drexel University Collect of Medicine,Jason Wheeler,85,Rat,Sprague-Dawley,Female,Charles River,>6 weeks,190-305 g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Not reported,200,Force; Displacement; Velocity,NA,NA,Rehabilitative training,aerobic training (forced wheel running); strength training (isometric pull task),cytokine; exercise; inflammation; macrophage; rat; rehabilitation,NA,Craig H. Neilsen Foundation; National Institutes of Health; National Institute of Neurological Disorders and Stroke,post,To further investigate how macrophage activity evolves over time after SCI and how this activity is modulated by short bouts of aerobic or strength training initiated at acute subacute or chronic stages of spinal cord injury.,
1345,http://doi.org/10.34945/F5PK6X,Blood laboratory values from 137 de-identified TRACK-SCI participants from routine collected real-world data,Clinical,2025,2025-07-22,TRACK-SCI De-ID Lab,Not reported,137,Human (deidentified),NA,Female; Male,NA,18-90 years,NA,NA,NA,Not reported,NA,NA,AIS A-E,NA,NA,NA,NA,NA,NA,laboratory values; real-world data; routine collected markers,?,Department of Defense (USA); Wings for Life,post,This dataset was used for validating the modeling of blood trajectory markers over the first 21 days during acute hospitalization after injury and to develop machine learning clinical prediction models.,
1408,http://doi.org/10.34945/F55P5X,"Safety, feasibility, and cumulative effects of activity-based locomotor training combined with spinal cord stimulation on trunk control in children with SCI",Clinical,2025,2025-07-29,Andrea Behrman,Behrman,3,Human (deidentified),NA,Male,NA,Jun-14,NA,NA,Cervical; Lumbar,Not reported,MA,NA,NA,NA,NA,NA,NA,Neuromodulation,spinal cord transcutaneous stimulation (scTS); activity-based locomotor training (AB-LT) ,activity-based locomotor training; pediatrics; spinal cord injury; spinal cord transcutaneous stimulation; trunk control,NA,National Institutes of Health; National Center of Neuromodulation for Rehabilitation,post,"To evaluate the safety, feasibility, and cumulative effects of AB-LT combined with scTS on trunk control in children with complete and incomplete SCI.",
1389,http://doi.org/10.34945/F58C8W,Harnessing inflammation for spinal cord injury repair I: TLR2 agonist Pam3CSK4 dose response testing in naive female Lewis rats,Animal,2025,2025-08-27,Karim Fouad,Brooklynn Nelson,16,Rat,Lewis,Female,Charles River Canada,2 months,180-220 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open field; Sickness score,Drug/agent,Pam3CSK4,microglial cell activation; Pam3CSK4; TLR4 agonist,1387,Canadian Institutes of Health Research,post,"To determine what systemic dose of Pam3CSK4 would activate microglia in the spinal cord, and whether there was a dose-response relationship between 1) Pam3CSK4 dose and microglial activation and 2) Pam3CSK4 dose and the evolution of sickness behaviours.",
1387,http://doi.org/10.34945/F54P47,Harnessing inflammation for spinal cord injury repair II: exploring the efficacy of TLR2 and TLR4 agonists on microglial activation after C4 unilateral dorsolateral quadrant spinal cord injury in female Lewis rats,Animal,2025,2025-08-27,Karim Fouad,Brooklynn Nelson,40,Rat,Lewis,Female,Charles River Canada,2 months,180-220 g,DLQ,Cervical,C4-C5,Unilateral - right side,Microblade,Incomplete,NA,NA,NA,Sickness score,Drug/agent,Pam3CSK4; E6020,microglial cell activation; Pam3CSK4; spinal cord injury; TLR2 agonist; TLR4 agonist,1389,Canadian Institutes of Health Research,post,To explore the efficacy of Pam3CSK4 (a synthetic TLR2 agonist) and E6020 (a synthetic TLR4 agonist) on microglial activation after C4-C5 cervical spinal cord injury.,
1448,http://doi.org/10.34945/F5W59S,Diaphragm pacing elicits respiratory plasticity in awake rodents after C2 hemisection,Animal,2025,2025-08-27,Streeter Lab,Taylor Holmes,42,Rat,Sprague-Dawley,Female; Male,Envigo,12 weeks,179-400 g,Hemisection,Cervical,C2,Unilateral - leftside,Microscalpel,Incomplete,NA,NA,NA,Breathing,Neuromodulation,diaphragm EMG implant,cervical spinal cord injury; diaphragm; diaphragm pacing; phrenic afferents; respiratory plasticity,NA,National Institutes of Health; Foundation for Physical Therapy Research: Academy of Acute Care Physical Therapy,post,To investigate if diaphragm pacing (DP) induces ventilatory and diaphragm electromyography (EMG) plasticity in awake rodents following incomplete C2 hemi-section.,
1404,http://doi.org/10.34945/F5MP4K,"Two-texture preference test for neuropathic pain after cervical 5/6, unilateral contusion injury in adult C57BL/6J mice",Animal,2025,2025-10-02,Angelo Lepore Lab,Dr David Jaffe,12,Mouse,C57BL/6J,Female; Male,Jackson Labs,35-41 weeks,22-33 g,Contusion,Cervical,C5-C6,Unilateral,Infinite Horizons impactor,Not reported,60,Dwell time; Tip size,NA,von Frey; Two-texture preference test; Grimace score,NA,NA,behavioural assessmentl cervical spinal cord; contusion; neuropathic pain; spinal cord injury,NA,National Institute of Neurological Disorders and Stroke; Yant Family Spinal Cord Regeneration Fund,post,"To create a new behavioral test by modifying the open field test to incorporate a rough, potentially-noxious texture to half the chamber to identify whether differences can be observed in animals with neuropathic pain.",
1458,http://doi.org/10.34945/F5H020,"Integrating sensitive motor tasks with histopathology detects sex differences in recovery after spinal cord injury (SCI): a study using male and female 12-week-old mice on a C57BL6/J background that received a T9 contusion SCI or T9 laminectomy (sham) surgery; outcome measures were open-field hindlimb BMS testing, activity box, advanced dynamic weight bearing, histopathology, and principal component analysis",Animal,2025,2025-10-06,Brennan Lab,Emily Swarts,39,Mouse,C57BL/6J,Female; Male,Jackson Labs,12 weeks,,Contusion,Thoracic,T9,Not reported,Infinite Horizons impactor,Not reported,70,Force; Displacement,BMS,Activity box; Advanced dynamic weight bearing,NA,NA,NA,NA,Banting Foundation; Craig H. Neilsen Foundation; J.P. Bickell Foundation; Natural Sciences and Engineering Research Council of Canada; Queen's University; Wings for Life,post,To test whether two additional behavioral tasks - the infrared activity box and advanced dynamic weight bearing (ADWB) - identify any sex differences in motor recovery in male and female mice following a 70 kilodyne contusion SCI or sham (laminectomy) surgery.,
1476,http://doi.org/10.34945/F53P4X,"Assessing the Effect of Macrophage Derived Small Extracellular Vesicles on Pain Behavior, Inflammation, and Nociceptive Afferent Sprouting after C5 Unilateral Contusion in Female Sprague Dawley Rats",Animal,2025,2025-10-10,Detloff Lab-Drexel University Collect of Medicine,Jason Wheeler,112,Rat,Sprague-Dawley,Female,Charles River,>6 weeks,>225 g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Not reported,200,Force; Displacement; Velocity,NA,von Frey; Hargreaves's; Mechanical Conflict Avoidance Paradigm,Drug/agent,small extracellular vesicles (sEVs),dorsal root ganglia; nociceptor; plasticity; small extracellular vesicles,NA,Drexel University College of Medicine; National Institutes of Health; National Institute of Neurological Disorders and Stroke; Pennsylvania Department of Health Commonwealth Universal Research Enhancement,post,"To investigate whether these sEVs are therapeutically viable in treatment of SCI-induced neuropathic pain, as well as the biological mechanisms by which this analgesia is produced.",
1485,http://doi.org/10.34945/F5V59G,Functional Forelimb Recovery and Histological Outcomes following Stem Cell Graft after C7 Hemisection or C6 Hemicontusion in Male Macaca Mulatta Primates,Animal,2025,2025-10-24,Tuszynski Lab,Tuszynski,19,Monkey,Macaca mulatta,Male,not available,5-9 years,9-14 kg,Contusion; Hemisection,Cervical,C6; C7,Not reported,Scalpel; BOSE,Not reported,Not  reported,Not reported,NA,Brinkman Board,Graft/cellular,human embryonic stem cell-derived spinal cord neural stem cells,primate; spinal cord injury; stem cell,NA,Bernard and Anne Spitzer Charitable Trust; Canada Foundation for Innovation; Craig H. Neilsen Foundation; Dr. Miriam and Sheldon G. Adelson Medical Research Foundation; Department of Veterans Affairs (USA); National Institutes of Health; Natural Sciences and Engineering Research Council of Canada,post,To graft human embryonic stem cell-derived spinal cord neural stem cells into rhesus monkeys in two spinal cord injury models: C7 spinal cord hemisections and more clinically relevant C6 hemi-contusions to assess functional forelimb revcovery as well as axon regeneration.,
1487,http://doi.org/10.34945/F5B60R,Influence of the heme-binding protein hemopexin on functional recovery and tissue protection after T10 spinal cord contusion injury in male and female mice,Animal,2025,2025-12-09,Kroner,Dr. Kroner ,196,Mouse,C57BL/6; HE KO,Female; Male,Charles River; Jackson Lab; VA Born,8-10 weeks,16-30 g,Contusion,Thoracic,T11,Not reported,Infinite Horizons impactor,Not reported,40,Force; Displacement,BMS; Ladder walking,Weight support,Genetic ,hemopexin (Hx) knockout,hemopexin; hemorrhage; neutrophils; secondary damage,NA,Craig H. Neilsen Foundation,post,"To investigate the role of hemopexin (Hx), an acute-phase plasma glycoprotein that sequesters the blood breakdown product heme, thus preventing toxicity and inflammation induced by intraparenchymal hemorrhage after SCI.",
1492,http://doi.org/10.34945/F5G02P,Blood brain barrier permeability and gliosis along the pain neuroaxis after unilateral cervical spinal cord injury and forced wheel walking exercise in female rats,Animal,2025,2025-10-12,Detloff Lab-Drexel University Collect of Medicine,Grace Giddings,75,Rat,Sprague-Dawley,Female,Charles River,>6 weeks,245-316 g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Not reported,200,Force; Displacement; Velocity,Walking speed,von Frey; Forced swim test; Mechanical Conflict Avoidance Paradigm,Rehabilitative training,forced wheel running,astrocyte; BBB; BSCB; exercise; microglia; pain,NA,National Institutes of Health; National Institute of Neurological Disorders and Stroke; Pennsylvania Department of Health,post,"To examine how aerobic exercise influences blood spinal cord barrier (BSCB) integrity, vascular protein expression, and neuroimmune activation along the sensory neuroaxis following contusive SCI in rat.",
1494,http://doi.org/10.34945/F52P50,"Assessment of Gait Data Collection Part I of III Parts: camera separation, position, and minimum number with a neurologically intact female domestic short-hair feline",Animal,2026,2026-01-05,Howland Lab,Van Sandt,1,Cat,Domestic shorthair,Female,not available,16 months,3.05 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coordinate data; gait; infrared camera; kinematic; locomotion; reflective markers,NA,Not reported,post,To test if separation of infrared cameras positioned 60-80° apart provide the most accurate and consistent gait analysis measurements and to determine the minimum number of cameras needed for reliable 3D coordinate marker data collections.,
411,http://doi.org/10.34945/F58W2S,Exercise-Induced Changes to the Macrophage Response in the Dorsal Root Ganglia Prevent Neuropathic Pain after Unilateral Cervical Spinal Cord Injury in Adult Female Rats,Animal,2026,2026-01-07,Detloff Lab-Drexel University Collect of Medicine,Soha Chhaya,56,Rat,Sprague-Dawley,Female,Charles River,adult,225-250 g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Moderate,200,Force; Displacement; Velocity,NA,von Frey; Mechanical Conflict Avoidance Paradigm,Rehabilitative training,forced wheel running,activity-dependent plasticity; neuropathic pain; rat; rehabilitation,NA,Craig H. Neilsen Foundation; National Institutes of Health; National Institute of Neurological Disorders and Stroke,post,To examine the 1) underlying immune differences in the spinal cord and DRG between rats with and without pain and 2) immunomodulatory effects of exercise in pain reduction.,
1495,http://doi.org/10.34945/F5Z01N,Individual-level therapist and patient characteristics and evaluations of rehabilitative interventions used to assess the reliability of the International Spinal Cord Injury Physical Therapy-Occupational Therapy Basic Data Set,Clinical,2026,2026-01-13,Linda,Not reported,200,Human (deidentified),NA,NA,NA,>18 years,NA,NA,NA,NA,NA,NA,Motor-incomplete paraplegia; Motor-incomplete tetraplegia; Motor-complete paraplegia; Motor-complete tetraplegia,NA,NA,NA,NA,NA,NA,clinical assessment validation; outcome measures; PT-OT Basic Data Set; recovery; rehabilitation; spinal cord injury,NA,Not reported,post,To assess the interrater reliability of the PT-OT BDS.,
1346,http://doi.org/10.34945/F5F60P,EMG and Kinematic analysis of Human Central Pattern Generator Study in a child with Perinatal Thoracic Spinal Cord Injury,Clinical,2026,2026-01-14,Andrea Behrman,Behrman,2,Human (deidentified),NA,Male,NA,4 years,NA,NA,Thoracic,T2,NA,NA,Severe,NA,NA,EMG data for multiple kinematic endpoints,NA,NA,NA,central pattern generator; human spinal locomotor pattern generator; spinal cord injury,NA,Kosair for Kids,post,To examine the existence of a human CPG by leveraging a unique opportunity to follow the clinical and neurophysiological development of a child with a severe prenatal spinal cord injury.,
1529,http://doi.org/10.34945/F5JS40,Diaphragm EMG and plethysmography metrics from male Sprague-Dawley wildtype rats and rats with Pompe disease,Animal,2026,2026-01-23,Dale Lab,Not reported,12,Rat,Sprague-Dawley,Male,Envigo,4-10 months,Not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breathing; EMG; plethysmography; Pompe's dise,NA,National Institutes of Health,post,To establish a 'respiratory signature' of disease across the lifespan in a rodent model of Pompe disease.,
1517,http://doi.org/10.34945/F5T603,Intraganglionic CCL2 induced neuropathic pain and depression after unilateral cervical spinal cord contusion in adult male and female LysM-eGFP mice,Animal,2026,2026-01-31,Detloff Lab-Drexel University Collect of Medicine,Jonathan Richards; Grace Giddings,70,Mouse,LysM eGFP,Female; Male,Mutant Mouse Research Resource Center,>6 weeks,18-37 g,Contusion,Cervical,C5,Unilateral,Infinite Horizons impactor,Moderate,40,Force; Displacement; Velocity; Dwell time,NA,von Frey; Hargreaves; Mechanical Conflict Avoidance Paradigm; Open field; Sucrose intake; Forced swim test,Drug/agent,recombinant mouse CCL2,CCL2; depression; dorsal root ganglia; macrophage; pain,NA,National Institutes of Health; National Institutes of Health: HEAL Initiative,post,To test whether augmenting DRG macrophage recruitment via bolus intraganglionic CCL2 delivery would reduce pain-related sensory and emotional dysfunction after cervical SCI.,
1410,http://doi.org/10.34945/F51W2M,"Clinical outcomes of participants with chronic, thoracic SCI following perilesional spinal neuromodulation",Clinical,2026,2026-03-09,Borton Laboratory,Jonathan Calvert,3,Human (deidentified),NA,Not reported,NA,Not reported,Not reported,NA,Thoracic,T3-T6,NA,NA,AIS A-B,NA,NA,NA,NA,Neuromodulation,"two epidural electrode arrays, one rostral and one caudal to the SCI lesion",epidural stimulation; human; neuromodulation; neurorehabilitation; thoracic spinal cord injury,NA,Carney Institute for Brain Science; Defense Advanced Research Projects Agency; Department of Veterans Affairs (USA); National Institutes of Health; National Research Foundation of Korea; Susan and Isaac Wakil Foundation; ,post,"To evaluate the safety and feasibility of a bidirectional, perilesional neuromodulation approach to restore function in individuals with chronic, thoracic spinal cord injury.",
1519,http://doi.org/10.34945/F5PG6W,"Quantifying lesion size, fibroblast and macrophage density at 4 and 28 days post thoracic contusion in young and middle-aged female C57BL/6J Mice",Animal,2026,2026-03-26,Jae Lee Lab,Jae Lee,52,Mouse,C57BL/6,Female,Jackson Labs; in-house colony/breeding,2-13 months,18-38 g,Contusion,Thoracic,T8,Not reported,Infinite Horizons impactor,Moderate,65; 70,Force; Displacement,BMS,NA,NA,NA,age; astrocyte; contusion; C57BL/6J; fibroblast; macrophage; mouse; proliferation,NA,Else Kroner-Fresenius Foundation; National Institute of Neurological Disorders and Stroke; The Buoniconti Fund to Cure Paralysis; The Miami Project to Cure Paralysis,post,To compare young (2-3 months) and middle age (10-12 months) mice in contusive T8 injury outcomes at acute and chronic timepoints.,
1536,http://doi.org/10.34945/F55G67,Activating Systemic Inflammation with LPS Drives Microglia-Mediated Degradation of Perineuronal Nets after Cervical Spinal Cord Injury in Female Lewis Rats,Animal,2026,2026-04-21,Karim Fouad,Jaison Cucarian,64,Rat,Lewis,Female,Charles River Canada,9 weeks,165-295 g,DLQ,Cervical,C4-C5,Unilateral - right side,Custom blade,NA,NA,NA,Lorelimb locomotor scale,Paw position; Sickness score,Drug/agent,LPS; LPS+Minocycline,extracellular matrix; lipopolysaccharide; neuroplasticity; perineuronal nets; spinal cord injury,NA,Canadian Institutes of Health Resea,post,To examine whether the subacute inflammatory response induced by LPS promotes the breakdown of perineuronal nets (PNNs) and whether PNN degradation is mediated by LPS induced microglial activation.,
1587,http://doi.org/10.34945/F5888V,Genioglossus EMG metrics from male Sprague-Dawley rats during electrical stimulation after C2 hemisection and C1 transection injury,Animal,2026,2026-04-27,Dale Lab,Alyssa Mickle,6,Rat,Sprague-Dawley,Male,Envigo,3-6 months,337-418 g,Hemisection; Transection,Cervical,C1; C2,Unilateral - right side (hemisection C2); Complete transection (C1),Microscalpel,Incomplete; Complete,NA,NA,NA,NA,Neuromodulation,"short bouts of varying amplitude electrical stimulation timed during the breath, between breaths, and throughout the respiratory cycle",breathing; hypoglossal motor nucleaus; phrenic motor nucleus; spinal cord stimulation,NA,National Institutes of Health,post,"To understand how electrical stimulation at the spinal level C4, targeting the phrenic motor nucleus, affects hypoglossal motor output under varying levels of injury.",
